single,singleLabel,releaseDate,genreLabel,performerLabel,citizenshipLabel,youtubeID,viewCountSample,lat,lon,latlon
http://www.wikidata.org/entity/Q120289229,Capitán,2023-05-26T00:00:00Z,electropop,Rafael Ruiz Amador,Spain,Mf_gvJxI0Cw,4608829,40.2,-3.5,"40.2, -3.5"
http://www.wikidata.org/entity/Q119246032,Tuya,2023-06-09T00:00:00Z,reggaeton,Rosalía,Spain,F84pjEryeC0,4333220,40.2,-3.5,"40.2, -3.5"
http://www.wikidata.org/entity/Q118610579,Say Yes to Heaven,2023-05-19T00:00:00Z,pop music,Lana Del Rey,United States of America,MiAoetOXKcY,4110108,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q125030429,Act II: Date @ 8,2023-12-15T00:00:00Z,contemporary R&B,4Batz,United States of America,9ZAWGMPR1AA,4064951,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q116874834,Proibidona,2023-01-18T00:00:00Z,pop music,Valesca Popozuda,Brazil,HMvqkfBeTos,4049492,-14,-53,"-14, -53"
http://www.wikidata.org/entity/Q119202192,When I Get There,2023-02-14T00:00:00Z,pop music,Pink,United States of America,3moAYqBZ-lI,4004705,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q120639015,Rush,2023-07-13T00:00:00Z,house music,Troye Sivan,Australia,b53QJYP-lqY,3691716,-25,133,"-25, 133"
http://www.wikidata.org/entity/Q120906814,Tsaritsa,2023-07-14T00:00:00Z,pop music,Anna Asti,Russia,d8-3ffuTTZ8,3596527,66.41666667,94.25,"66.416666666, 94.25"
http://www.wikidata.org/entity/Q119132054,Lilith,2023-06-05T00:00:00Z,electro-industrial,Halsey,United States of America,9PdH-zavwO4,3376490,39.828175,-98.5795,"39.828175, -98.5795"
http://www.wikidata.org/entity/Q129234927,Vida loca,2023-07-07T00:00:00Z,pop music,Icy Subzero,Italy,_pQPQrozMKM,3362890,42.5,12.5,"42.5, 12.5"
http://www.wikidata.org/entity/Q120418414,Bellissimissima,2023-05-12T00:00:00Z,pop music,Alfa,Italy,330xZ5xFF68,3332530,42.5,12.5,"42.5, 12.5"
